timestamp,cam_left_x,cam_left_y,cam_right_x,cam_right_y,follower_pos1,follower_pos2,follower_pos3,follower_pos4,aug_type
1758628070.2734356,174.0,290.0,355.0,341.0,2350,2222,2106,2932,original
1758627688.409355,272.0,257.0,361.0,263.0,2074,2056,2722,2490,original
1758628304.6136994,,,215.0,344.0,2609,2322,2529,2392,left_nan
1758628947.537595,301.0,266.0,,,1818,2692,1889,2672,right_nan
1758628505.0433855,321.0,225.0,,,1899,2314,2469,2508,right_nan
1758628007.3485508,,,544.0,289.0,1388,2285,2132,2880,left_nan
1758627697.3462963,,,398.0,313.0,2066,2300,2040,2902,left_nan
1758627697.3462963,225.0,307.0,,,2066,2300,2040,2902,right_nan
1758627712.7774022,,,451.0,377.0,2168,2296,1769,3014,left_nan
1758628228.1372097,347.0,451.0,574.0,260.0,1305,2556,1950,2744,original
1758628909.074545,86.0,183.0,239.0,313.0,2613,2527,2296,2409,original
1758628275.9669669,106.0,265.0,399.0,325.0,2355,2598,1710,2960,original
1758628512.689211,,,456.0,179.0,1752,2316,2537,2476,left_nan
1758628399.9305682,306.0,271.0,469.0,199.0,1764,2403,2315,2564,original
1758627788.7955112,,,438.0,235.0,1754,1816,3035,2351,left_nan
1758628028.6575491,295.0,323.0,,,1876,2197,2251,2825,right_nan
1758628440.9393952,156.0,192.0,267.0,265.0,2370,2327,2523,2413,original
1758628956.6002612,,,517.0,184.0,1641,2625,2095,2547,left_nan
1758627739.5916972,317.0,276.0,,,1902,1993,2839,2427,right_nan
1758627645.2706249,106.0,318.0,352.0,431.0,2737,2303,1949,2963,original
1758628825.3042164,246.0,289.0,,,1758,2750,1729,2779,right_nan
1758628352.7552795,187.0,294.0,,,1849,2528,1941,2796,right_nan
1758627954.0689323,220.0,330.0,,,2051,2233,1978,3054,right_nan
1758627765.4568436,,,524.0,320.0,1465,2286,1899,3013,left_nan
1758628811.1758964,315.0,318.0,,,1593,2692,1900,2649,right_nan
1758628994.123402,367.0,235.0,485.0,165.0,1744,2502,2368,2392,original
1758628451.2152236,124.0,177.0,199.0,293.0,2478,2071,3007,2218,original
1758628909.074545,,,239.0,313.0,2613,2527,2296,2409,left_nan
1758628872.9783795,135.0,252.0,,,2374,2766,1674,2777,right_nan
1758628872.9783795,135.0,252.0,413.0,280.0,2374,2766,1674,2777,original
1758627671.707508,170.0,304.0,,,2433,2279,2013,2939,right_nan
1758628017.7209392,,,500.0,251.0,1586,2039,2659,2594,left_nan
1758628629.5616834,42.0,213.0,,,2753,2712,1968,2554,right_nan
1758628317.8714302,,,296.0,319.0,2504,2487,2155,2594,left_nan
1758628267.1627069,182.0,287.0,454.0,293.0,2095,2599,1623,3038,original
1758627983.8394234,,,301.0,432.0,2691,2241,2255,2750,left_nan
1758628481.9008656,205.0,142.0,318.0,219.0,2196,2343,2452,2496,original
1758627927.5111654,414.0,330.0,,,1653,1932,3033,2402,right_nan
1758629080.005478,68.0,229.0,,,2665,2778,1783,2669,right_nan
1758629053.8499703,140.0,145.0,,,2442,2156,3075,2105,right_nan
1758628926.0902767,150.0,198.0,372.0,244.0,2266,2710,1881,2674,original
1758628994.123402,367.0,235.0,,,1744,2502,2368,2392,right_nan
1758627976.1495104,143.0,325.0,397.0,382.0,2449,2290,1912,3012,original
1758628794.2846825,399.0,375.0,566.0,203.0,1477,2647,2068,2541,original
1758628897.9898818,78.0,206.0,,,2633,2617,2104,2522,right_nan
1758628794.2846825,,,566.0,203.0,1477,2647,2068,2541,left_nan
1758628909.074545,86.0,183.0,,,2613,2527,2296,2409,right_nan
1758629087.3260555,,,281.0,259.0,2455,2592,2198,2443,left_nan
1758628039.1513426,211.0,278.0,354.0,310.0,2229,2210,2310,2730,original
1758627927.5111654,414.0,330.0,469.0,220.0,1653,1932,3033,2402,original
1758628275.9669669,106.0,265.0,,,2355,2598,1710,2960,right_nan
1758627968.428236,233.0,390.0,494.0,331.0,1790,2306,1906,2918,original
1758628399.9305682,,,469.0,199.0,1764,2403,2315,2564,left_nan
1758628811.1758964,315.0,318.0,539.0,217.0,1593,2692,1900,2649,original
1758629032.402712,209.0,169.0,338.0,194.0,2227,2491,2379,2396,original
1758628197.8535328,,,538.0,294.0,1612,2582,1569,3074,left_nan
1758627784.7217438,354.0,306.0,438.0,233.0,1792,1816,3035,2352,original
1758627921.4907715,,,468.0,221.0,1665,1965,2922,2346,left_nan
1758628083.1438,231.0,320.0,,,2100,2240,2034,2953,right_nan
1758628916.653967,,,301.0,286.0,2501,2648,2050,2564,left_nan
1758627733.4559207,268.0,344.0,,,1863,2254,2041,2947,right_nan
1758628721.722479,,,386.0,399.0,2758,2811,1654,2778,left_nan
1758627662.1862395,125.0,348.0,403.0,412.0,2698,2322,1773,3124,original
1758628017.7209392,391.0,376.0,,,1586,2039,2659,2594,right_nan
1758628419.816008,,,389.0,223.0,2035,2452,2218,2599,left_nan
1758628926.0902767,150.0,198.0,,,2266,2710,1881,2674,right_nan
1758628512.689211,377.0,250.0,456.0,179.0,1752,2316,2537,2476,original
1758629024.880425,257.0,189.0,387.0,182.0,2064,2533,2275,2469,original
1758628373.0224218,,,535.0,213.0,1537,2411,2291,2537,left_nan
1758628764.4125755,318.0,420.0,593.0,255.0,1325,2795,1659,2797,original
1758627878.582533,340.0,474.0,555.0,302.0,1349,2234,2182,2803,original
1758628343.9717677,148.0,265.0,,,2039,2559,1871,2828,right_nan
1758628825.3042164,246.0,289.0,505.0,231.0,1758,2750,1729,2779,original
1758628956.6002612,374.0,299.0,,,1641,2625,2095,2547,right_nan
1758628758.1643438,222.0,383.0,570.0,279.0,1494,2873,1438,2954,original
1758627765.4568436,282.0,438.0,524.0,320.0,1465,2286,1899,3013,original
1758627697.3462963,225.0,307.0,398.0,313.0,2066,2300,2040,2902,original
1758627739.5916972,,,395.0,243.0,1902,1993,2839,2427,left_nan
1758628629.5616834,42.0,213.0,295.0,386.0,2753,2712,1968,2554,original
1758627878.582533,,,555.0,302.0,1349,2234,2182,2803,left_nan
1758628156.7258592,38.0,248.0,279.0,446.0,2755,2599,2014,2632,original
1758627775.438804,319.0,379.0,493.0,280.0,1610,2234,2200,2832,original
1758627629.958687,,,289.0,292.0,2302,1926,3038,2283,left_nan
1758628179.3263242,,,429.0,371.0,2518,2600,1588,3036,left_nan
1758628650.1440418,61.0,264.0,,,2585,2989,1440,2794,right_nan
1758628520.818963,440.0,272.0,479.0,169.0,1652,2087,3007,2288,original
1758627662.1862395,125.0,348.0,,,2698,2322,1773,3124,right_nan
1758628520.818963,,,479.0,169.0,1652,2087,3007,2288,left_nan
1758627775.438804,,,493.0,280.0,1610,2234,2200,2832,left_nan
1758627907.3237405,,,509.0,276.0,1482,2234,2182,2958,left_nan
1758627907.3237405,359.0,409.0,,,1482,2234,2182,2958,right_nan
1758629087.3260555,128.0,178.0,281.0,259.0,2455,2592,2198,2443,original
1758627788.7955112,356.0,305.0,438.0,235.0,1754,1816,3035,2351,original
1758628758.1643438,,,570.0,279.0,1494,2873,1438,2954,left_nan
1758628947.537595,301.0,266.0,481.0,203.0,1818,2692,1889,2672,original
1758628167.6923034,76.0,272.0,,,2685,2624,1753,2887,right_nan
1758629053.8499703,,,205.0,229.0,2442,2156,3075,2105,left_nan
1758628838.8509195,,,480.0,246.0,2000,2841,1619,2777,left_nan
1758627733.4559207,,,446.0,297.0,1863,2254,2041,2947,left_nan
1758628825.3042164,,,505.0,231.0,1758,2750,1729,2779,left_nan
1758629080.005478,,,341.0,352.0,2665,2778,1783,2669,left_nan
1758628392.1583166,418.0,308.0,513.0,190.0,1597,2228,2722,2334,original
1758628779.3110037,,,599.0,237.0,1323,2723,1894,2632,left_nan
1758628440.9393952,156.0,192.0,,,2370,2327,2523,2413,right_nan
1758628238.949049,374.0,388.0,,,1463,2508,2086,2666,right_nan
1758628167.6923034,76.0,272.0,372.0,400.0,2685,2624,1753,2887,original
1758628936.1228778,,,434.0,219.0,2013,2716,1843,2697,left_nan
1758627784.7217438,354.0,306.0,,,1792,1816,3035,2352,right_nan
1758628419.816008,244.0,222.0,389.0,223.0,2035,2452,2218,2599,original
1758628926.0902767,,,372.0,244.0,2266,2710,1881,2674,left_nan
1758628451.2152236,,,199.0,293.0,2478,2071,3007,2218,left_nan
1758627662.1862395,,,403.0,412.0,2698,2322,1773,3124,left_nan
1758627976.1495104,143.0,325.0,,,2449,2290,1912,3012,right_nan
1758628440.9393952,,,267.0,265.0,2370,2327,2523,2413,left_nan
1758628046.359708,134.0,247.0,248.0,365.0,2518,1956,2939,2365,original
1758628794.2846825,399.0,375.0,,,1477,2647,2068,2541,right_nan
1758628838.8509195,186.0,246.0,480.0,246.0,2000,2841,1619,2777,original
1758627765.4568436,282.0,438.0,,,1465,2286,1899,3013,right_nan
1758628228.1372097,,,574.0,260.0,1305,2556,1950,2744,left_nan
1758628188.5087223,150.0,328.0,,,2059,2579,1550,3038,right_nan
1758628721.722479,50.0,256.0,,,2758,2811,1654,2778,right_nan
1758629080.005478,68.0,229.0,341.0,352.0,2665,2778,1783,2669,original
1758628872.9783795,,,413.0,280.0,2374,2766,1674,2777,left_nan
1758628089.7876952,281.0,348.0,,,1825,2191,2079,2960,right_nan
1758627638.9187832,155.0,273.0,,,2436,2250,2244,2768,right_nan
1758628083.1438,,,410.0,313.0,2100,2240,2034,2953,left_nan
1758628947.537595,,,481.0,203.0,1818,2692,1889,2672,left_nan
1758628650.1440418,61.0,264.0,475.0,323.0,2585,2989,1440,2794,original
1758628650.1440418,,,475.0,323.0,2585,2989,1440,2794,left_nan
1758627620.706007,156.0,214.0,218.0,323.0,2476,1947,3038,2401,original
1758627784.7217438,,,438.0,233.0,1792,1816,3035,2352,left_nan
