cam_left_x,cam_left_y,cam_right_x,cam_right_y,follower_pos1,follower_pos2,follower_pos3,follower_pos4,aug_type
,,403.0,412.0,2698,2322,1773,3124,left_nan
143.0,325.0,,,2449,2290,1912,3012,right_nan
,,267.0,265.0,2370,2327,2523,2413,left_nan
134.0,247.0,248.0,365.0,2518,1956,2939,2365,original
399.0,375.0,,,1477,2647,2068,2541,right_nan
186.0,246.0,480.0,246.0,2000,2841,1619,2777,original
282.0,438.0,,,1465,2286,1899,3013,right_nan
,,574.0,260.0,1305,2556,1950,2744,left_nan
150.0,328.0,,,2059,2579,1550,3038,right_nan
50.0,256.0,,,2758,2811,1654,2778,right_nan
68.0,229.0,341.0,352.0,2665,2778,1783,2669,original
,,413.0,280.0,2374,2766,1674,2777,left_nan
281.0,348.0,,,1825,2191,2079,2960,right_nan
155.0,273.0,,,2436,2250,2244,2768,right_nan
,,410.0,313.0,2100,2240,2034,2953,left_nan
,,481.0,203.0,1818,2692,1889,2672,left_nan
61.0,264.0,475.0,323.0,2585,2989,1440,2794,original
,,475.0,323.0,2585,2989,1440,2794,left_nan
156.0,214.0,218.0,323.0,2476,1947,3038,2401,original
,,438.0,233.0,1792,1816,3035,2352,left_nan
,,399.0,325.0,2355,2598,1710,2960,left_nan
266.0,210.0,,,2019,2418,2337,2613,right_nan
,,469.0,220.0,1653,1932,3033,2402,left_nan
397.0,353.0,,,1537,2411,2291,2537,right_nan
244.0,222.0,,,2035,2452,2218,2599,right_nan
,,442.0,277.0,1876,2197,2251,2825,left_nan
375.0,436.0,599.0,237.0,1323,2723,1894,2632,original
295.0,323.0,442.0,277.0,1876,2197,2251,2825,original
150.0,206.0,,,2180,2449,2226,2598,right_nan
174.0,290.0,,,2350,2222,2106,2932,right_nan
,,361.0,263.0,2074,2056,2722,2490,left_nan
,,454.0,293.0,2095,2599,1623,3038,left_nan
,,368.0,287.0,2304,2533,1953,2785,left_nan
347.0,451.0,,,1305,2556,1950,2744,right_nan
,,331.0,333.0,2625,2710,1904,2617,left_nan
223.0,250.0,,,2258,2086,2659,2569,right_nan
321.0,225.0,416.0,190.0,1899,2314,2469,2508,original
,,539.0,177.0,1554,2542,2266,2460,left_nan
218.0,228.0,434.0,219.0,2013,2716,1843,2697,original
134.0,247.0,,,2518,1956,2939,2365,right_nan
218.0,410.0,490.0,346.0,1624,2297,1753,3078,original
281.0,348.0,450.0,296.0,1825,2191,2079,2960,original
391.0,376.0,500.0,251.0,1586,2039,2659,2594,original
,,513.0,259.0,1708,2598,1722,2952,left_nan
,,273.0,350.0,2633,2617,2104,2522,left_nan
262.0,333.0,,,1708,2598,1722,2952,right_nan
,,202.0,269.0,2445,2062,3030,2270,left_nan
148.0,265.0,430.0,258.0,2039,2559,1871,2828,original
140.0,145.0,205.0,229.0,2442,2156,3075,2105,original
90.0,294.0,,,2739,2267,2203,2763,right_nan
218.0,410.0,,,1624,2297,1753,3078,right_nan
211.0,365.0,538.0,294.0,1612,2582,1569,3074,original
444.0,270.0,513.0,157.0,1624,2245,2875,2121,original
38.0,248.0,,,2755,2599,2014,2632,right_nan
,,372.0,400.0,2685,2624,1753,2887,left_nan
98.0,287.0,301.0,432.0,2691,2241,2255,2750,original
300.0,207.0,,,1904,2588,2156,2511,right_nan
,,552.0,233.0,1463,2508,2086,2666,left_nan
209.0,169.0,,,2227,2491,2379,2396,right_nan
90.0,294.0,307.0,437.0,2739,2267,2203,2763,original
440.0,272.0,,,1652,2087,3007,2288,right_nan
,,218.0,323.0,2476,1947,3038,2401,left_nan
158.0,231.0,,,2304,2533,1953,2785,right_nan
113.0,185.0,,,2501,2648,2050,2564,right_nan
333.0,310.0,,,1669,2505,2058,2712,right_nan
,,307.0,437.0,2739,2267,2203,2763,left_nan
369.0,398.0,507.0,268.0,1511,2179,2364,2763,original
112.0,172.0,202.0,269.0,2445,2062,3030,2270,original
,,470.0,240.0,1849,2528,1941,2796,left_nan
357.0,447.0,,,1388,2285,2132,2880,right_nan
369.0,398.0,,,1511,2179,2364,2763,right_nan
134.0,274.0,,,2559,2192,2306,2762,right_nan
163.0,372.0,451.0,377.0,2168,2296,1769,3014,original
160.0,157.0,,,2368,2373,2634,2257,right_nan
377.0,250.0,,,1752,2316,2537,2476,right_nan
357.0,447.0,544.0,289.0,1388,2285,2132,2880,original
340.0,474.0,,,1349,2234,2182,2803,right_nan
155.0,273.0,311.0,347.0,2436,2250,2244,2768,original
,,494.0,331.0,1790,2306,1906,2918,left_nan
