epoch,train_loss,val_loss
502,254.34927368164062,303.8384704589844
503,254.3181915283203,303.6328125
504,254.32489013671875,303.93939208984375
505,254.32640075683594,303.89093017578125
506,254.299560546875,303.6709899902344
507,254.27037048339844,303.7021179199219
508,254.25384521484375,303.88336181640625
509,254.2507781982422,303.7004089355469
510,254.21395874023438,303.6973571777344
511,254.2382049560547,303.8518981933594
512,254.1982421875,303.43682861328125
513,254.23040771484375,303.58740234375
514,254.23593139648438,303.81591796875
515,254.1662139892578,303.9207763671875
516,254.1822509765625,303.5440979003906
517,254.18385314941406,303.4512634277344
518,254.1433868408203,303.91436767578125
519,254.14230346679688,303.88787841796875
520,254.19009399414062,303.86328125
521,254.13479614257812,303.843505859375
522,254.1005096435547,303.5546569824219
523,254.06649780273438,303.4754333496094
524,254.10357666015625,303.6673278808594
525,254.05348205566406,303.95391845703125
526,254.06585693359375,303.6456604003906
527,254.0824737548828,303.5689392089844
528,254.10452270507812,303.93505859375
529,254.05267333984375,303.58111572265625
530,253.94854736328125,303.28662109375
531,254.0162353515625,303.5760498046875
532,253.96202087402344,303.5817565917969
533,253.9259796142578,303.30950927734375
534,253.91317749023438,303.3417663574219
535,253.8845977783203,303.31207275390625
536,253.8734893798828,303.20294189453125
537,253.86512756347656,303.16253662109375
538,253.85543823242188,303.5567932128906
539,253.9302215576172,303.1905212402344
540,253.86749267578125,302.8459167480469
541,253.91156005859375,303.39508056640625
542,253.86465454101562,303.52911376953125
543,253.92584228515625,302.9021911621094
544,253.9038848876953,302.6502380371094
545,253.97959899902344,303.1455993652344
546,253.77706909179688,303.3165588378906
547,253.82220458984375,302.9417419433594
548,253.76780700683594,302.8810729980469
549,253.76710510253906,303.17724609375
550,253.7684783935547,303.21185302734375
551,253.73992919921875,303.0037536621094
552,253.7085418701172,302.77783203125
553,253.75926208496094,303.0538024902344
554,253.68858337402344,303.1212463378906
555,253.68666076660156,302.8995666503906
556,253.67935180664062,302.8402099609375
557,253.67103576660156,302.97698974609375
558,253.63833618164062,302.7381286621094
559,253.6362762451172,303.0231628417969
560,253.66497802734375,302.80987548828125
561,253.6105194091797,302.6551513671875
562,253.6126708984375,302.9163513183594
563,253.61422729492188,302.5731201171875
564,253.61143493652344,302.6837463378906
565,253.55552673339844,302.9749450683594
566,253.61941528320312,302.5137634277344
567,253.58718872070312,302.4224548339844
568,253.56455993652344,302.96148681640625
569,253.62722778320312,302.8778991699219
570,253.6005096435547,302.1700439453125
571,253.67971801757812,302.3229675292969
572,253.55886840820312,302.7431335449219
573,253.54542541503906,302.8961181640625
574,253.5926971435547,302.741455078125
575,253.5306396484375,302.44842529296875
576,253.4679718017578,302.3699951171875
577,253.49716186523438,302.6748046875
578,253.49227905273438,302.69964599609375
579,253.44419860839844,302.5934753417969
580,253.4272003173828,302.44085693359375
581,253.42115783691406,302.45977783203125
582,253.3873291015625,302.5553283691406
