timestamp,cam_left_x,cam_left_y,cam_right_x,cam_right_y,follower_pos1,follower_pos2,follower_pos3,follower_pos4,follower_pos5
1762325726.4262567,560,346,418,408,1455,2574,1562,2132,2252
1762325743.0099406,547,347,295,373,1810,2682,1346,2208,2501
1762325769.6395795,338,342,114,265,2367,2797,1514,1754,1833
1762325910.6409497,177,382,38,259,2587,2906,1510,1793,1835
1762325935.5011845,342,401,53,278,2615,3017,1308,1872,2043
1762325993.1920865,573,323,230,334,1983,3180,1162,1817,2547
1762326013.8753529,503,277,273,242,2016,3048,1455,1650,2453
1762326038.1319678,389,238,136,198,2178,2984,1551,1547,1794
1762326072.08093,481,200,309,156,1922,2887,1770,1532,2282
1762326089.3297637,371,182,188,154,2208,2856,1794,1524,2024
1762326104.9710588,179,181,65,169,2413,2849,1864,1499,1606
1762326134.6441283,291,407,127,313,2359,2674,1618,1827,1613
1762326175.308219,230,330,134,260,2424,2558,1847,1753,1742
1762326222.7247865,515,322,434,342,1733,2695,1655,1964,2652
1762326242.1457663,541,380,403,444,1537,2632,1553,1999,2349
1762326262.3833961,582,360,408,443,1506,2722,1466,2043,2337
1762326307.1721997,471,344,195,311,2059,3027,1127,1960,2122
1762326332.807445,186,357,57,252,2616,2813,1484,1975,1955
1762326354.9827046,342,227,199,193,2248,2775,1754,1678,2166
1762326391.2637098,433,224,220,189,2065,2877,1676,1582,2092
1762326407.9155881,488,223,283,182,2012,2890,1689,1597,2441
1762326438.2536995,528,263,340,237,1869,2881,1623,1690,2571
1762326490.9777002,582,267,439,251,1667,2903,1627,1704,2554
1762326491.1825953,582,267,441,249,1667,2903,1627,1704,2554
1762326504.389271,429,247,147,205,2256,3098,1409,1638,2207
1762326519.429117,306,272,94,214,2446,3053,1527,1588,2021
1762326545.138007,184,284,73,223,2537,2885,1658,1650,1986
1762326573.1304963,371,410,135,331,2271,2623,1433,2041,1725
1762326582.4767063,289,422,102,314,2503,2605,1559,1965,1803
1762326602.855562,196,420,74,294,2648,2728,1616,1843,1806
1762326616.1754463,185,225,153,193,2396,2437,2262,1479,1828
1762326628.552359,314,223,213,192,2209,2631,1938,1613,2048
1762326643.071085,448,248,317,217,1962,2634,1786,1806,2377
1762326652.7359035,480,249,390,224,1780,2607,1825,1860,2244
1762326666.037918,511,243,448,222,1705,2618,1914,1704,2277
1762326733.6574962,590,206,454,119,1788,3098,1668,1485,2504
1762326765.9920614,621,220,471,129,1626,3197,1648,1384,2278
1762326797.827997,643,275,479,295,1585,3273,1569,1384,2383
1762326817.01399,622,249,151,194,1668,3416,1410,1250,1952
1762326852.7830503,455,273,13,210,2597,3383,1387,1266,1955
1762326873.6067336,214,307,1,219,2658,3107,1526,1535,1787
1762326899.0016499,214,75,38,132,2418,3102,1777,1326,1740
1762326912.2591908,202,85,91,115,2389,2901,2043,1233,1758
1762326930.9113429,488,124,176,80,2069,3252,1640,1250,2077
