timestamp,cam_left_x,cam_left_y,cam_right_x,cam_right_y,follower_pos1,follower_pos2,follower_pos3,follower_pos4,follower_pos5
1763376010.1379735,361,285,342,271,2016,2472,1889,1877,2026
1763376093.2968543,426,168,311,221,2093,2809,1570,1891,2013
1763376131.7786584,430,148,280,142,2086,3255,1553,1450,2056
1763376207.8758914,395,334,314,312,2064,2353,1497,2381,2050
1763376243.8118563,425,264,285,253,2039,2959,1250,1988,2034
1763376271.8537226,475,167,230,180,2078,3495,1370,1358,2028
1763376337.3116221,454,414,277,388,2050,2594,1279,2230,2036
1763376358.2044268,485,352,230,326,2074,3382,1220,1448,2061
1763376375.1777186,551,273,138,249,2064,3198,1537,1148,1996
