timestamp,cam_left_x,cam_left_y,cam_right_x,cam_right_y,follower_pos1,follower_pos2,follower_pos3,follower_pos4,follower_pos5
1762245966.7350667,299,291,259,249,2079,2138,2302,1809,1478
1762245986.9795988,349,234,215,191,2111,2595,1942,1680,1712
1762246008.5337272,195,368,163,292,2383,2236,2069,2047,1690
1762246022.4204807,204,294,101,228,2585,2727,1654,1883,2173
1762246034.955376,226,397,60,272,2683,2913,1535,1710,2049
1762246063.7836356,201,191,126,167,2432,2681,2014,1504,1849
1762246083.088061,537,282,443,281,1797,2791,1595,1991,2650
1762246121.3955855,497,283,440,276,1894,2433,2138,1685,2723
1762246130.1583462,543,326,412,360,1690,2555,1670,2055,2561
1762246140.777291,289,373,114,281,2553,2564,1604,1944,2053
1762246169.5599344,249,299,225,253,2270,2001,2877,1229,1440
1762246269.6939118,278,429,170,348,2256,2263,1828,2111,1339
1762246289.3049831,354,418,219,366,2083,2255,1643,2230,1649
1762246299.9719086,435,397,310,392,2040,2360,1587,2181,2595
1762246324.5345097,300,296,262,257,2082,2143,2515,1542,1500
1762246334.4823909,253,294,231,248,2207,2099,2551,1532,1493
1762246343.6260011,272,262,200,215,2212,2389,2303,1388,1607
1762246351.483086,291,350,167,277,2250,2566,1822,1720,1587
1762246363.094821,489,304,383,298,1918,2501,1977,1618,2667
1762246371.5643744,456,250,398,227,1917,2269,2484,1400,2561
1762246388.6332304,513,359,351,382,1794,2566,1561,2117,2681
1762246399.8851192,490,355,263,343,2117,2737,1510,1868,2731
1762246421.8288102,323,186,171,161,2203,2738,2105,1195,1761
1762246435.762047,263,338,20,232,2497,3155,1639,1327,1433
1762246437.2493148,265,341,21,236,2497,3155,1639,1327,1430
1762246473.7358863,278,70,125,95,2205,2607,2563,1050,1150
1762246499.8180435,579,170,486,58,1741,2739,2390,1040,2534
1762246540.6754816,642,263,329,251,1704,3496,1350,1461,2717
1762246541.0207608,646,264,328,247,1704,3496,1350,1461,2717
1762246589.1840093,614,286,171,255,2160,3528,1343,1290,3098
1762246616.1430492,496,277,41,222,2036,3356,1354,1500,1001
1762246657.8987765,430,62,182,32,2052,3072,1970,1164,1824
1762246681.1703742,549,132,354,33,1950,3026,1968,1260,2796
1762246776.5181315,581,226,484,167,1605,3007,1778,1429,2300
1762246812.6759703,459,331,305,313,2009,2418,1650,2230,2870
1762246864.8061125,270,327,171,264,2221,2325,2099,1705,1402
1762246886.3745017,197,288,194,242,2351,1944,2939,1331,1574
1762246909.2669542,247,85,136,101,2228,2573,2656,1012,1280
1762246911.555718,248,79,137,93,2228,2573,2656,1012,1284
1762246928.228825,415,98,217,66,2080,3057,1917,1239,1986
1762246953.8918626,326,294,22,207,2558,3426,1304,1490,1665
1762246989.8533683,512,352,282,353,1976,2689,1371,2227,2951
1762247016.922281,462,292,401,281,1918,2339,2117,1829,2776
