timestamp,cam_left_x,cam_left_y,cam_right_x,cam_right_y,follower_pos1,follower_pos2,follower_pos3,follower_pos4,follower_pos5
1762234739.8585885,461,282,461,275,1774,2018,2733,1459,2299
1762234750.3224661,390,292,356,269,2015,2152,2403,1665,2546
1762234785.8723025,295,291,261,250,2041,2113,2545,1548,1465
1762234832.4030674,483,334,454,353,1661,2267,2133,1793,2193
1762234951.5580056,417,341,344,330,2039,2233,2021,1965,2592
1762234969.775856,366,353,286,315,2015,2313,1753,2156,2047
1762234989.6505396,309,362,228,309,1932,2280,2044,1865,1247
1762235024.8300512,190,368,161,291,2457,2207,2151,1905,1755
1762235123.2502437,501,370,432,412,1352,2177,1899,2155,1854
1762235153.205449,439,399,307,395,2070,2179,1654,2332,2660
1762235177.2600102,394,410,257,379,2047,1993,1690,2458,2157
1762235193.4355822,325,426,198,356,1957,2165,1707,2296,1314
1762235232.4866555,209,430,139,329,2594,2192,1891,2111,1826
1762235269.8157053,494,248,462,232,1768,2414,2119,1662,2255
1762235286.6044195,437,256,335,221,2085,2484,1962,1757,2610
1762235303.5655863,397,244,278,202,1993,2597,1724,1876,2059
1762235323.2210793,319,242,227,203,1956,2492,2102,1603,1316
1762235382.2120726,201,220,167,190,2269,2400,2291,1518,1575
1762235400.5883229,519,300,451,318,1802,2525,1828,1859,2324
1762235405.820665,516,302,452,321,1643,2525,1828,1860,2262
1762235433.2123039,453,307,300,281,2071,2573,1617,2027,2653
1762235501.1289911,393,298,250,258,2019,2529,1640,2022,2040
1762235515.4801033,331,310,193,254,2001,2501,1843,1857,1222
1762235545.7513871,185,360,122,250,2486,2512,1889,1845,1843
1762235609.4692085,547,338,436,383,1287,2510,1629,2010,1788
1762235637.081384,483,363,269,355,1928,2416,1427,2349,2376
1762235663.0334048,227,362,118,273,1847,2168,1467,2602,1866
1762235668.135093,433,380,222,341,1998,2205,1379,2577,1967
1762235700.895085,350,397,161,317,1984,2470,1530,2200,1220
1762235717.4045603,207,415,100,299,2451,2502,1693,1977,1512
1762235771.0214517,539,178,460,98,1750,2737,2109,1342,2339
1762235807.1366816,492,158,285,92,2117,2978,1819,1402,2616
1762235845.5752022,448,108,227,62,2031,3172,1716,1282,1968
1762235879.1002843,381,92,155,86,1953,2879,2028,1261,1139
1762235879.854135,381,93,155,85,1956,2894,2028,1261,1139
1762235879.9870028,381,93,155,86,1956,2894,2028,1261,1139
1762235912.5836957,202,54,116,89,2312,2668,2439,1089,1514
1762235931.9860663,590,200,463,115,1618,3111,1813,1266,2189
1762235935.6908262,590,195,461,107,1618,3111,1813,1266,2189
1762235961.1362257,549,198,220,132,2219,3245,1578,1327,2835
1762236008.0417035,493,186,183,134,1974,3376,1403,1366,2017
1762236039.1510975,439,145,114,124,1931,3198,1644,1331,1243
1762236055.5268416,177,118,60,144,2461,3002,1946,1241,1652
1762236131.5027125,627,243,464,174,1554,3235,1590,1379,2257
1762237083.1229985,587,257,241,227,2005,3522,1296,1398,2774
1762237104.1991532,555,281,111,221,2020,3417,1427,1038,1985
1762237125.8870704,480,243,65,192,2054,3466,1437,1210,1389
1762237161.6660602,266,349,45,226,2612,3173,1558,1396,1898
1762237232.88662,393,292,266,252,2077,2528,1608,2100,2058
1762237252.058896,312,370,225,314,2053,2294,1847,2070,1474
1762237270.6596105,330,421,201,357,2023,2257,1663,2273,1387
1762237297.4315693,345,316,284,282,1908,2200,2093,1946,1492
1762237330.6234164,322,326,217,276,2082,2366,1812,2010,1647
1762237341.2735252,361,297,164,241,2056,2837,1527,1849,1466
1762237397.7814598,487,283,270,250,2106,2850,1426,1963,2568
1762237422.2266855,523,333,238,311,2171,2940,1162,2063,2482
1762237435.123967,436,339,134,274,1829,2961,1180,2013,1347
1762237455.7783911,352,209,235,171,2028,2627,1927,1650,1621
1762237476.8364177,484,149,276,85,2130,2960,1884,1335,2631
1762237492.5852048,391,96,167,84,2080,2970,1942,1230,1573
1762237526.5691526,525,327,453,361,1454,2453,1857,1893,1956
1762237562.960541,179,354,152,275,2459,2394,1919,1927,1703
1762237585.633477,240,286,226,237,2235,2154,2454,1590,1707
1762237599.029166,270,264,107,213,2333,2903,1595,1746,1601
1762237614.862382,487,301,354,296,1928,2537,1621,2073,2514
1762237643.853982,438,270,367,246,1970,2458,1967,1826,2490
1762237662.8881776,358,273,278,240,2051,2456,1899,1825,1990
1762237688.7536936,397,386,256,354,2045,2217,1607,2368,2077
