timestamp,cam_left_x,cam_left_y,cam_right_x,cam_right_y,follower_pos1,follower_pos2,follower_pos3,follower_pos4,follower_pos5
1762171206.2023604,634,249,384,324,1670,3078,1763,2344,2587
1762171270.0352523,659,242,154,183,2080,3427,1629,2142,2976
1762171320.4367325,485,331,15,229,2156,3343,1584,2327,1014
1762171360.8140514,124,442,3,239,2474,3257,1544,2458,1396
1762171834.388538,377,363,288,334,2031,2213,1758,3191,2046
1762171874.5016217,436,297,264,264,1991,2599,1960,2380,1951
1762171887.5615475,499,212,211,158,1984,2933,2062,1908,1953
1762171901.9433477,352,296,317,267,2074,1916,3031,2055,1942
1762171910.8002028,401,216,292,177,2006,2562,2311,2146,1943
1762171917.744634,477,129,270,67,2018,2853,2359,1905,1943
1762171943.2041311,480,404,377,435,1829,2171,1934,3089,2911
1762171958.0190647,536,345,360,367,1793,2695,1559,2963,2731
1762171971.0938253,597,286,323,297,1899,3207,1542,2444,2806
1762171991.1349468,297,459,180,374,1989,2365,1729,3095,885
1762171996.7719672,326,403,111,307,2003,2867,1597,2693,977
1762172002.3356042,381,348,67,249,2016,3184,1686,2292,963
1762172021.4360628,433,297,417,287,1918,1980,2809,2380,2705
1762172030.3004448,473,252,398,226,1957,2462,2263,2503,2837
1762172035.7611666,534,197,382,130,1920,2834,2122,2268,2967
1762172047.0583134,256,299,234,255,2113,2015,2826,2390,1027
1762172052.070486,292,190,201,165,2077,2371,2624,2255,1055
1762172060.1911428,334,80,150,89,2030,2596,2633,1997,1051
1762172082.2716713,477,230,355,193,2029,2558,2169,2567,2998
1762172093.3934379,317,438,132,329,2073,2530,1553,3146,1166
1762172107.2530112,496,384,283,388,2261,2535,1554,3177,3340
1762172121.438717,494,267,382,235,2062,2611,1988,2658,2950
1762172131.493337,300,234,149,195,2123,2626,2190,2390,1051
1762172141.5729449,522,69,186,11,1806,2564,2957,1672,862
