timestamp,cam_left_x,cam_left_y,cam_right_x,cam_right_y,follower_pos1,follower_pos2,follower_pos3,follower_pos4,follower_pos5
1762156463.6390815,341,461,,,1809,2174,1860,3107,2091
1762156619.8069992,360,468,219,390,1828,2118,1714,3257,2280
1762156650.0266485,220,477,132,358,2417,2382,1532,3257,2604
1762156695.445142,537,237,465,227,1804,2605,1960,2655,3526
1762156716.620848,480,248,333,231,2178,2582,2081,2501,3917
1762156747.7031975,356,254,228,228,1893,2469,2169,2551,2191
1762156770.7541773,,,173,204,2277,2391,2386,2447,2541
1762156790.379557,233,233,166,215,2278,2391,2386,2447,2569
1762156825.3352683,560,278,462,298,1800,2605,2004,2582,3760
1762156840.8970442,508,276,297,262,2164,2787,1732,2759,4093
1762156913.9479437,369,314,196,268,1911,2621,1786,2757,2194
1762156942.922498,227,354,147,283,2309,2597,1792,2830,2513
1762157002.8706567,568,321,458,415,1547,2855,1434,2904,3386
