timestamp,cam_left_x,cam_left_y,cam_right_x,cam_right_y,follower_pos1,follower_pos2,follower_pos3,follower_pos4,follower_pos5
1762336887.3389504,184,328,127,251,2484,2484,2064,1646,1798
1762336896.0136406,259,346,156,272,2296,2560,1875,1685,1650
1762336911.174619,346,371,185,304,2127,2702,1684,1668,1650
1762336917.97566,357,342,208,288,2111,2671,1732,1672,1834
1762336926.0394158,337,323,207,267,2211,2671,1769,1706,1908
1762336941.4776366,389,324,243,280,2062,2728,1671,1727,2066
1762336954.3250105,428,369,249,335,2016,2842,1372,1866,2111
1762336966.4926121,428,342,267,311,1997,2762,1520,1823,2154
1762336971.732855,403,325,261,285,2092,2762,1474,1916,2180
1762336991.3676372,483,329,354,326,1668,2680,1542,1940,2043
1762337009.2259336,453,294,350,275,1840,2672,1671,1885,2180
1762337028.0330448,521,319,443,337,1656,2672,1730,1852,2492
1762337047.048482,494,270,459,256,1641,2553,2095,1536,2113
1762337087.715631,538,357,418,404,1581,2733,1711,1697,2512
1762337099.4049227,504,382,324,399,1708,2797,1489,1793,2307
1762337121.1555173,436,418,209,379,2031,2655,1224,2154,2047
1762337137.1724305,375,274,274,238,2038,2524,1971,1616,2055
1762337172.3009484,601,358,403,461,1575,3167,1313,1872,2477
1762337232.3652587,577,326,273,348,1586,3357,1365,1444,2086
1762337285.626504,535,307,121,267,2023,3510,1334,1155,2028
1762337304.2958145,318,426,43,265,2624,3282,1550,1203,1893
1762336604.4750981,538,392,407,453,1659,2567,1552,2043,2813
1762336618.0686302,503,377,313,392,1678,2654,1406,2117,2216
1762336646.59392,439,401,213,365,2050,2531,1298,2322,2062
1762336677.4606922,341,416,150,331,2244,2686,1296,2125,1765
1762336708.499126,196,455,80,316,2749,2672,1444,2117,1929
1762337425.6307185,183,415,26,258,2702,3185,1687,1275,2021
1762337445.0188556,180,216,70,184,2545,2881,1980,1272,1888
1762338377.6462433,172,243,75,194,2402,2890,1766,1538,1643
1762338392.1340437,193,139,114,138,2451,2703,2234,1193,2009
1762338405.5195012,309,174,133,150,2311,2962,1786,1363,1938
1762338421.4890506,310,231,95,190,2326,3093,1596,1418,1803
1762338435.3605397,369,279,59,207,2389,3258,1491,1298,1793
1762338451.0961246,410,254,135,200,2236,3220,1507,1330,2011
1762338462.8452017,430,236,159,186,2169,3121,1625,1307,1972
1762338472.086537,386,198,165,160,2146,3091,1716,1252,1878
1762338493.6547885,503,275,135,224,2077,3467,1377,1207,2022
1762338510.187638,491,200,227,181,2047,3226,1670,1213,2027
1762338531.4060137,435,168,230,118,2048,2946,1959,1228,2001
1762338552.6174226,512,269,176,211,2020,3403,1387,1272,2138
1762338587.747526,530,223,205,163,2019,3328,1478,1311,2291
1762338600.0224562,503,156,202,90,2046,3282,1677,1178,2198
1762338627.9191332,521,200,305,130,1914,3102,1707,1360,2323
1762338643.7104917,567,239,315,182,1847,3169,1581,1444,2407
1762338689.2933595,629,312,434,390,1471,3291,1451,1512,2133
1762338701.292075,593,269,460,250,1487,3157,1676,1359,2065
1762338723.7760823,564,229,450,176,1669,2931,1975,1279,2212
1762338736.6221695,535,216,445,155,1681,2805,2135,1153,2072
1762338772.9568863,632,188,480,30,1650,3135,2019,1032,2395
1762338804.2830415,574,109,103,36,2035,3212,1749,1004,2062
1762338825.894265,215,-19,10,108,2587,3248,1873,1004,1937
1762338864.8739636,237,-27,72,49,2445,2902,2235,1077,1937
1762338888.522754,503,76,168,18,2069,3149,1872,1015,2102
1762338919.6992328,593,136,441,-19,1767,2777,2365,990,2475
1762338941.662974,653,174,456,-10,1681,3079,2077,1019,2557
1762338962.1184747,670,217,536,44,1652,3295,1916,1001,2547
1762338993.131753,656,232,150,136,1729,3387,1608,997,2232
1762339005.9025483,609,175,226,49,1765,3234,1776,1079,2138
1762339028.1277385,560,122,261,4,1864,3028,2008,1002,2209
1762339059.5554929,349,58,99,77,2238,3039,2008,1077,1709
1762339073.6019735,399,84,46,107,2284,3204,1827,1013,1718
1762339084.2492266,455,138,-15,151,2461,3366,1700,1008,1829
