timestamp,cam_left_x,cam_left_y,cam_right_x,cam_right_y,follower_pos1,follower_pos2,follower_pos3,follower_pos4,follower_pos5
1762157378.1875834,539,369,258,389,2615,2789,1298,3094,4091
1762157396.331971,449,410,139,350,1654,2750,1436,3000,1797
1762157412.9863806,201,466,79,317,2687,2738,1486,2982,2761
1762157464.0453122,543,199,476,164,1878,2687,2140,2378,3687
1762157481.2699385,486,214,332,185,2171,2571,2364,2248,4092
1762157506.1365123,384,140,212,137,1945,2668,2300,2191,2222
1762157517.9265893,221,117,129,150,2301,2575,2605,2014,2570
1762157544.5992544,611,262,489,282,1756,3047,1615,2552,3664
1762157587.6555355,571,234,262,202,2254,3275,1561,2244,3627
1762157598.1494498,445,251,146,215,1966,3094,1732,2361,2171
1762157614.9943528,242,299,87,235,2487,3078,1658,2487,2821
1762157633.3902812,631,277,492,347,1833,3205,1537,2516,3990
1762157660.5747912,603,318,218,342,1247,2973,1725,2479,1634
1762157673.995974,501,384,106,318,1758,3153,1400,2660,1796
1762157696.7983065,243,360,46,248,2430,3073,1652,2501,2340
1762157740.2985644,525,289,393,298,1982,2686,1696,2853,3750
1762157763.5239172,406,340,219,301,1841,2614,1791,2746,2180
1762157779.925026,401,339,335,329,1846,2454,1954,2762,2554
1762157815.901722,286,340,224,292,2465,2322,1822,3129,3265
1762157829.3491752,510,344,420,382,1781,2316,1731,3247,3542
1762157868.418849,401,386,283,357,2583,2338,1851,2945,4091
1762156619.8069992,360,468,219,390,1828,2118,1714,3257,2280
1762156650.0266485,220,477,132,358,2417,2382,1532,3257,2604
1762156695.445142,537,237,465,227,1804,2605,1960,2655,3526
1762156716.620848,480,248,333,231,2178,2582,2081,2501,3917
1762156747.7031975,356,254,228,228,1893,2469,2169,2551,2191
1762156770.7541773,,,173,204,2277,2391,2386,2447,2541
1762156790.379557,233,233,166,215,2278,2391,2386,2447,2569
1762156825.3352683,560,278,462,298,1800,2605,2004,2582,3760
1762156840.8970442,508,276,297,262,2164,2787,1732,2759,4093
1762156913.9479437,369,314,196,268,1911,2621,1786,2757,2194
1762156942.922498,227,354,147,283,2309,2597,1792,2830,2513
1762157002.8706567,568,321,458,415,1547,2855,1434,2904,3386
