timestamp,cam_left_x,cam_left_y,cam_right_x,cam_right_y,follower_pos1,follower_pos2,follower_pos3,follower_pos4,follower_pos5
1762156086.3476162,472,284,465,295,1864,2019,2776,2380,3512
1762156100.4622078,411,300,376,294,2090,1958,2900,2335,3691
1762156118.0713193,299,304,276,275,1995,1923,2982,2272,2257
1762156146.3159466,190,290,204,257,2291,1907,2999,2269,2514
1762156174.2871382,188,362,188,292,2345,2094,2392,2773,2494
1762156209.8974888,325,372,251,329,1978,2246,2171,2774,2091
1762156253.644518,429,357,348,361,2173,2215,2059,2966,4093
1762156274.5064306,498,343,467,389,1674,2186,2344,2662,3558
1762156307.5834813,521,393,239,192,1589,2201,1892,3134,3576
1762156341.741447,520,393,443,441,1684,2179,1981,3066,3795
