timestamp,cam_left_x,cam_left_y,cam_right_x,cam_right_y,follower_pos1,follower_pos2,follower_pos3,follower_pos4,follower_pos5
1763380702.0385733,243,475,147,365,2540,2252,1598,2370,1698
1763380729.306773,251,468,119,355,2522,2421,1449,2354,1637
1763380737.0265143,262,460,103,324,2566,2777,1267,2207,1661
1763380744.6746752,271,452,80,313,2509,3171,1286,1753,1683
1763380759.2338898,283,440,70,293,2589,3398,1339,1463,1748
1763380767.015147,274,416,58,257,2589,3465,1524,1206,1693
1763380802.423914,368,278,332,271,2011,2331,2036,1910,1976
1763380832.278648,382,316,317,305,2052,2337,1778,2117,1993
1763380857.0674736,394,347,300,340,2047,2345,1588,2275,1996
1763380868.146894,409,383,295,358,2063,2203,1481,2551,1981
1763380881.5934212,434,427,265,415,2048,2444,1473,2015,2047
1763380903.1562438,497,381,214,374,2070,2906,1415,1551,2048
1763380923.7947984,477,307,219,298,2046,3014,1167,2031,2051
1763380936.1981301,464,237,236,227,2023,3108,1409,1704,2047
1763380949.0765064,440,210,259,201,2035,3023,1548,1651,2047
1763380967.3035016,411,204,283,194,2035,2886,1688,1710,2049
1763380984.839561,599,264,112,257,2076,3216,1528,1126,2039
1763381012.545159,530,252,169,235,2055,3494,1313,1370,2047
1763381025.8422914,493,179,205,169,2060,3457,1393,1366,2047
1763381033.5590038,462,160,236,145,2047,3268,1501,1481,2048
1763381041.023159,441,115,252,103,2046,3112,1708,1420,2047
