end_time,window_sec,avg_a_g,min_a_g,max_a_g,samples,servo_index,tol_ticks
2025-11-12T17:24:34,2.000,0.051300,0.003000,0.173000,20,0,10
2025-11-12T17:24:40,2.000,0.012100,0.002000,0.066000,20,0,10
2025-11-12T17:24:43,2.000,0.019381,0.002000,0.211000,21,0,10
2025-11-12T17:24:47,2.000,0.116238,0.051000,0.218000,21,0,10
2025-11-12T17:24:50,2.000,0.055150,0.023000,0.097000,20,0,10
2025-11-12T17:24:53,2.000,0.118850,0.055000,0.184000,20,0,10
