timestamp,cam_left_x,cam_left_y,cam_right_x,cam_right_y,follower_pos1,follower_pos2,follower_pos3,follower_pos4,follower_pos5
1762170263.2990918,482,290,480,294,1862,2036,2952,2220,2608
1762170306.3542755,411,294,381,274,2088,2163,2777,2290,2953
1762170358.9226363,328,299,291,259,1918,2092,2877,2345,825
1762170388.0856345,193,324,207,241,2259,2032,3077,2345,863
1762170408.3759403,489,328,473,362,1836,2361,2198,2814,3030
1762170438.8207934,436,348,351,341,2137,2495,2082,2671,3065
1762170457.9572682,347,365,256,315,1942,2400,2154,2640,989
1762170474.6291008,216,378,175,292,2326,2350,2369,2458,1275
1762170494.346203,525,380,464,443,1775,2387,1909,2984,2851
1762170513.198329,461,413,326,421,2297,2401,1701,3050,3128
1762170531.9361017,362,449,223,383,1906,2388,1874,2908,814
1762170555.7311983,232,462,157,350,2523,2306,1876,3053,1500
1762170583.834009,510,244,471,224,1858,2359,2652,2216,2939
1762170604.8346634,463,208,349,173,2112,2430,2572,2273,3202
1762170620.0720644,373,190,245,161,1956,2350,2718,2146,802
1762170646.0230608,229,194,172,170,2234,2266,2878,2076,1148
1762170670.805469,582,316,466,367,1558,2841,1650,2753,2567
1762170683.5230544,536,326,259,326,2291,2893,1516,2781,3051
1762170704.0074818,429,352,163,294,1946,2798,1614,2817,905
1762170726.8532448,271,376,103,277,2377,2792,1592,2874,1336
1762170767.2030585,581,141,463,16,1903,2635,2746,1843,2919
1762170791.1135006,534,116,306,36,2112,2921,2298,2048,3001
1762170805.193161,468,60,198,30,1943,2652,2816,1769,837
1762170822.1194649,334,53,115,92,2207,2627,2805,1723,1252
